response_id,player_id,instrument_id,game_id,score,responded_at
2760,3,7,3,5,2026-06-03 22:43:48.092964
2761,4,7,4,4,2026-06-03 22:43:48.092964
2762,5,7,5,6,2026-06-03 22:43:48.092964
2763,6,7,6,7,2026-06-03 22:43:48.092964
2764,1,8,1,5,2026-06-03 22:43:48.092964
2765,2,8,2,7,2026-06-03 22:43:48.092964
2766,3,8,3,3,2026-06-03 22:43:48.092964
2767,4,8,4,3,2026-06-03 22:43:48.092964
2768,5,8,5,5,2026-06-03 22:43:48.092964
2769,6,8,6,6,2026-06-03 22:43:48.092964
2770,1,9,1,2,2026-06-03 22:43:48.092964
2771,2,9,2,2,2026-06-03 22:43:48.092964
2772,3,9,3,4,2026-06-03 22:43:48.092964
2773,4,9,4,4,2026-06-03 22:43:48.092964
2774,5,9,5,4,2026-06-03 22:43:48.092964
2775,6,9,6,2,2026-06-03 22:43:48.092964
2776,1,10,1,6,2026-06-03 22:43:48.092964
2777,2,10,2,7,2026-06-03 22:43:48.092964
2778,3,10,3,4,2026-06-03 22:43:48.092964
2779,4,10,4,3,2026-06-03 22:43:48.092964
2780,5,10,5,5,2026-06-03 22:43:48.092964
2781,6,10,6,7,2026-06-03 22:43:48.092964
2782,1,11,1,5,2026-06-03 22:43:48.092964
2783,2,11,2,5,2026-06-03 22:43:48.092964
2784,3,11,3,5,2026-06-03 22:43:48.092964
2785,4,11,4,3,2026-06-03 22:43:48.092964
2786,5,11,5,5,2026-06-03 22:43:48.092964
2787,6,11,6,7,2026-06-03 22:43:48.092964
2788,1,12,1,4,2026-06-03 22:43:48.092964
2789,2,12,2,5,2026-06-03 22:43:48.092964
2790,3,12,3,4,2026-06-03 22:43:48.092964
2791,4,12,4,3,2026-06-03 22:43:48.092964
2792,5,12,5,4,2026-06-03 22:43:48.092964
2793,6,12,6,7,2026-06-03 22:43:48.092964
2794,1,13,1,3,2026-06-03 22:43:48.092964
2795,2,13,2,1,2026-06-03 22:43:48.092964
2796,3,13,3,3,2026-06-03 22:43:48.092964
2797,4,13,4,5,2026-06-03 22:43:48.092964
2798,5,13,5,4,2026-06-03 22:43:48.092964
2799,6,13,6,1,2026-06-03 22:43:48.092964
2800,1,14,1,5,2026-06-03 22:43:48.092964
2801,2,14,2,6,2026-06-03 22:43:48.092964
2802,3,14,3,5,2026-06-03 22:43:48.092964
2803,4,14,4,4,2026-06-03 22:43:48.092964
2804,5,14,5,5,2026-06-03 22:43:48.092964
2805,6,14,6,6,2026-06-03 22:43:48.092964
2806,1,15,1,6,2026-06-03 22:43:48.092964
2807,2,15,2,7,2026-06-03 22:43:48.092964
2808,3,15,3,5,2026-06-03 22:43:48.092964
2809,4,15,4,2,2026-06-03 22:43:48.092964
2810,5,15,5,6,2026-06-03 22:43:48.092964
2811,6,15,6,6,2026-06-03 22:43:48.092964
2812,1,16,1,4,2026-06-03 22:43:48.092964
2813,2,16,2,5,2026-06-03 22:43:48.092964
2814,3,16,3,4,2026-06-03 22:43:48.092964
2815,4,16,4,3,2026-06-03 22:43:48.092964
2816,5,16,5,4,2026-06-03 22:43:48.092964
2817,6,16,6,7,2026-06-03 22:43:48.092964
2818,1,17,1,4,2026-06-03 22:43:48.092964
2819,2,17,2,6,2026-06-03 22:43:48.092964
2820,3,17,3,4,2026-06-03 22:43:48.092964
2821,4,17,4,4,2026-06-03 22:43:48.092964
2822,5,17,5,5,2026-06-03 22:43:48.092964
2823,6,17,6,7,2026-06-03 22:43:48.092964
2824,1,18,1,6,2026-06-03 22:43:48.092964
2825,2,18,2,6,2026-06-03 22:43:48.092964
2826,3,18,3,3,2026-06-03 22:43:48.092964
2827,4,18,4,4,2026-06-03 22:43:48.092964
2828,5,18,5,6,2026-06-03 22:43:48.092964
2829,6,18,6,7,2026-06-03 22:43:48.092964
2830,1,19,1,5,2026-06-03 22:43:48.092964
2831,2,19,2,6,2026-06-03 22:43:48.092964
2832,3,19,3,5,2026-06-03 22:43:48.092964
2833,4,19,4,3,2026-06-03 22:43:48.092964
2834,5,19,5,5,2026-06-03 22:43:48.092964
2835,6,19,6,7,2026-06-03 22:43:48.092964
2836,1,20,1,5,2026-06-03 22:43:48.092964
2837,2,20,2,6,2026-06-03 22:43:48.092964
2838,3,20,3,4,2026-06-03 22:43:48.092964
2839,4,20,4,4,2026-06-03 22:43:48.092964
2840,5,20,5,6,2026-06-03 22:43:48.092964
2841,6,20,6,7,2026-06-03 22:43:48.092964
2842,1,21,1,4,2026-06-03 22:43:48.092964
2843,2,21,2,6,2026-06-03 22:43:48.092964
2844,3,21,3,4,2026-06-03 22:43:48.092964
2845,4,21,4,4,2026-06-03 22:43:48.092964
2846,5,21,5,5,2026-06-03 22:43:48.092964
2847,6,21,6,7,2026-06-03 22:43:48.092964
