game_id,episode_id,map_number,started_at,ended_at
125,1,4,2026-06-03 01:00:00,2026-06-03 01:12:00
126,2,4,2026-06-03 01:15:00,2026-06-03 01:29:00
127,3,5,2026-06-03 01:30:00,2026-06-03 01:43:00
128,4,4,2026-06-03 01:45:00,2026-06-03 01:55:00
129,1,4,2026-06-03 02:00:00,2026-06-03 02:14:00
130,2,5,2026-06-03 02:15:00,2026-06-03 02:29:00
7,3,4,2026-06-01 19:30:00,2026-06-01 19:43:00
8,4,4,2026-06-01 19:45:00,2026-06-01 19:57:00
9,1,5,2026-06-01 20:00:00,2026-06-01 20:12:00
10,2,4,2026-06-01 20:15:00,2026-06-01 20:28:00
11,3,4,2026-06-01 20:30:00,2026-06-01 20:44:00
12,4,5,2026-06-01 20:45:00,2026-06-01 20:58:00
13,1,5,2026-06-01 21:00:00,2026-06-01 21:13:00
14,2,5,2026-06-01 21:15:00,2026-06-01 21:25:00
15,3,4,2026-06-01 21:30:00,2026-06-01 21:44:00
16,4,4,2026-06-01 21:45:00,2026-06-01 21:58:00
17,1,4,2026-06-01 22:00:00,2026-06-01 22:10:00
18,2,5,2026-06-01 22:15:00,2026-06-01 22:26:00
